date,daily_rainfall_total
2009-02-28,148.0
2009-03-31,348.0
2009-04-30,148.8
2009-05-31,205.6
2009-06-30,92.0
2009-07-31,103.0
2009-08-31,90.2
2009-09-30,67.6
2009-10-31,160.0
2009-11-30,272.6
2009-12-31,100.0
2010-01-31,108.8
2010-02-28,84.4
2010-03-31,307.0
2010-04-30,472.6
2010-05-31,176.8
2010-06-30,312.2
2010-07-31,394.6
2010-08-31,231.4
2010-09-30,180.0
2010-10-31,206.2
2010-11-30,377.2
2010-12-31,129.6
2011-01-31,375.0
2011-02-28,182.0
2011-03-31,178.4
2011-04-30,315.2
2011-05-31,153.0
2011-06-30,128.6
2011-07-31,63.8
2011-08-31,172.0
2011-09-30,211.2
2011-10-31,455.6
2011-11-30,288.6
2011-12-31,348.4
2012-01-31,197
2012-02-29,113.39999999999999
2012-03-31,274.4
2012-04-30,339.4
2012-05-31,341.4
2012-06-30,105.39999999999999
2012-07-31,290.0
2012-08-31,168.0
2012-09-30,281.968
2012-10-31,158.20000000000002
2012-11-30,358.6
2012-12-31,455.8
2013-01-31,202
2013-02-28,319.0
2013-03-31,268.8
2013-04-30,210.6
2013-05-31,201.6
2013-06-30,75.0
2013-07-31,91.8
2013-08-31,176.2
2013-09-30,224.6
2013-10-31,202.2
2013-11-30,316.6
2013-12-31,271.4
2014-01-31,98.8
2014-02-28,15.8
2014-03-31,120.0
2014-04-30,261.40000000000003
2014-05-31,301.0
2014-06-30,196.0
2014-07-31,237.79999999999998
2014-08-31,72.39999999999999
2014-09-30,105.2
2014-10-31,44.99999999999999
2014-11-30,235.9
2014-12-31,225.2
2015-01-31,76.39999999999999
2015-02-28,65.2
2015-03-31,138.6
2015-04-30,317.4
2015-05-31,261.4
2015-06-30,62.0
2015-07-31,176.2
2015-08-31,83.0
2015-09-30,157.4
2015-10-31,85.60000000000001
2015-11-30,351.2
2015-12-31,270.40000000000003
2016-01-31,174.4
2016-02-29,189.4
2016-03-31,54.8
2016-04-30,116.4
2016-05-31,211.0
